timestep,episode,mean_reward
1500,81,3.2769
3000,141,4.1720
4500,191,5.7868
6000,231,7.7118
7500,258,13.0817
9000,283,20.0335
10500,306,23.6352
12000,329,28.8757
13500,354,29.9737
15000,382,30.6767
16500,410,29.1193
18000,440,29.0426
19500,469,29.9663
21000,499,29.4778
22500,529,30.2235
24000,558,30.2944
25500,585,30.7258
27000,614,30.5654
28500,644,29.5893
30000,675,28.7132
31500,705,28.6878
33000,735,29.8662
34500,764,29.6517
36000,792,29.8794
37500,821,29.5168
39000,849,28.8576
40500,881,28.3937
42000,912,29.4961
43500,940,29.3577
45000,967,30.7843
46500,995,29.0713
48000,1023,30.2887
49500,1050,30.9364
51000,1078,29.9765
52500,1108,29.5762
54000,1138,28.8712
55500,1167,29.3481
57000,1196,30.5160
58500,1226,30.1252
60000,1255,29.3185
61500,1284,29.4976
63000,1315,29.9133
64500,1346,30.4854
66000,1378,29.4275
67500,1409,29.6986
69000,1440,29.8797
70500,1472,29.3529
72000,1505,29.3790
73500,1537,30.1135
75000,1569,29.9212
76500,1601,30.3007
78000,1632,30.1915
79500,1664,29.8535
81000,1696,29.1536
82500,1728,29.7535
84000,1758,30.5805
85500,1787,30.8703
87000,1817,30.1607
88500,1848,30.0339
90000,1879,30.1581
91500,1911,29.7948
93000,1943,29.8062
94500,1975,29.1406
96000,2006,30.3349
97500,2038,29.5013
99000,2069,30.3516
100500,2098,29.6871
102000,2129,30.2421
103500,2161,29.4105
105000,2191,29.9178
106500,2222,30.2146
108000,2252,30.3983
109500,2284,30.0867
111000,2315,29.3712
112500,2347,29.7822
114000,2380,29.5216
115500,2413,28.8655
117000,2446,29.4659
118500,2477,29.3257
120000,2511,28.6328
121500,2545,28.6105
123000,2578,29.7527
124500,2613,28.2598
126000,2647,27.9724
127500,2679,29.6820
129000,2708,30.3287
130500,2738,28.8693
132000,2768,29.0959
133500,2800,30.4525
135000,2830,30.3512
136500,2858,31.2701
138000,2885,31.1775
139500,2913,31.2222
141000,2941,29.7793
142500,2971,31.0201
144000,3000,30.8165
145500,3030,31.1053
147000,3058,31.6047
148500,3084,29.2844
150000,3110,32.2495
151500,3140,30.2234
153000,3171,30.6878
154500,3204,30.4135
156000,3235,30.3725
157500,3266,29.3741
159000,3301,29.7176
160500,3336,29.1862
162000,3369,29.3018
163500,3405,29.4363
165000,3441,29.4077
166500,3474,29.8750
168000,3508,29.6903
169500,3541,29.9777
171000,3575,29.5428
172500,3607,29.3709
174000,3637,30.2028
175500,3670,29.5388
177000,3700,30.7143
178500,3731,30.2686
180000,3764,29.6970
181500,3796,28.9707
183000,3828,29.1179
184500,3860,29.7725
186000,3892,29.6599
187500,3925,29.5243
189000,3959,29.3162
190500,3993,28.2317
192000,4025,29.3165
193500,4058,28.1862
195000,4090,27.8482
196500,4123,28.3565
198000,4154,29.6487
199500,4186,29.5317
201000,4218,29.2132
202500,4252,29.5447
204000,4284,28.9707
205500,4316,29.5704
207000,4347,29.2400
208500,4379,29.2725
210000,4411,30.3332
211500,4445,29.7993
213000,4478,29.7093
214500,4511,29.8274
216000,4541,30.2063
217500,4573,29.7888
219000,4603,30.2159
220500,4636,29.9225
222000,4668,30.1595
223500,4699,30.3179
225000,4732,30.0774
