timestep,episode,mean_reward
600,73,0.7897
1200,158,0.6932
1800,231,0.7856
2400,306,0.7929
3000,369,0.9264
3600,432,0.9134
4200,492,0.9658
4800,550,1.1676
5400,597,1.2184
6000,653,1.0468
6600,708,1.9743
7200,755,1.2245
7800,805,1.5683
8400,850,2.3723
9000,897,2.7366
9600,945,1.1871
10000,EVAL,2.5782
10200,986,4.3459
10800,1029,3.4522
11400,1058,7.2080
12000,1094,2.4551
12600,1126,5.5408
13200,1161,8.6700
13800,1194,7.2430
14400,1235,4.1786
15000,1268,12.6627
15600,1297,6.8842
16200,1324,7.5163
16800,1356,10.9225
17400,1377,24.4821
18000,1410,12.3496
18600,1440,11.8460
19200,1467,18.7070
19800,1488,25.7365
20000,EVAL,66.7431
20400,1511,19.8875
21000,1539,20.3837
21600,1564,22.0479
22200,1583,30.0779
22800,1604,33.2503
23400,1627,26.1714
24000,1648,21.4690
24600,1674,26.5408
25200,1697,22.9379
25800,1717,34.6793
26400,1734,38.2963
27000,1756,26.4916
27600,1774,34.4460
28200,1797,27.6746
28800,1814,34.4365
29400,1831,43.6806
30000,1850,32.2608
30000,EVAL,66.6761
30600,1864,48.4958
31200,1878,52.1046
31800,1892,58.8621
32400,1909,39.4817
33000,1927,36.4469
33600,1944,54.2170
34200,1963,35.0619
34800,1979,47.7926
35400,1990,63.8587
36000,2003,58.5892
36600,2016,71.1383
37200,2028,60.7025
37800,2044,41.5334
38400,2059,57.7291
39000,2072,59.5286
39600,2086,56.5172
40000,EVAL,66.9334
40200,2101,56.6704
40800,2114,55.6338
41400,2130,44.8179
42000,2144,53.8021
42600,2154,76.3771
43200,2167,65.3139
43800,2178,60.8578
44400,2190,90.7293
45000,2202,72.2099
45600,2215,67.7808
46200,2226,81.4262
46800,2237,75.2178
47400,2248,74.9047
48000,2259,83.0272
48600,2269,85.5240
49200,2281,84.2213
49800,2293,66.0900
50000,EVAL,67.2532
50400,2305,65.5405
51000,2319,59.6426
51600,2333,56.1538
52200,2344,71.9775
52800,2357,69.8977
53400,2368,81.4108
54000,2381,70.4968
54600,2393,58.7304
55200,2403,97.9171
55800,2414,76.4540
56400,2426,73.1212
57000,2436,82.2176
57600,2447,93.3906
58200,2459,66.2070
58800,2471,80.9027
59400,2482,71.5235
60000,2493,76.8289
60000,EVAL,111.5363
60600,2504,91.7209
61200,2515,81.2179
61800,2531,54.7490
62400,2542,78.1310
63000,2552,85.5706
63600,2563,79.4056
64200,2576,76.1461
64800,2588,80.5504
65400,2601,64.1187
66000,2612,97.0493
66600,2623,82.8195
67200,2634,82.0063
67800,2645,91.0439
68400,2658,65.7966
69000,2669,87.7674
69600,2681,86.3208
70000,EVAL,110.6873
70200,2695,72.3737
70800,2707,96.8164
71400,2719,68.4263
72000,2734,52.5073
72600,2745,74.3903
73200,2757,91.4028
73800,2769,71.6711
74400,2783,73.2151
75000,2794,85.6892
75600,2807,75.3270
76200,2819,59.2718
76800,2831,96.6602
77400,2841,96.0291
78000,2857,66.1523
78600,2868,97.8347
79200,2881,75.2425
79800,2894,84.2552
80000,EVAL,108.7439
80400,2908,72.9087
81000,2920,92.1122
81600,2931,84.3490
82200,2943,93.9221
82800,2954,92.6763
83400,2964,102.4326
84000,2975,79.2540
84600,2986,88.6548
85200,2997,96.7741
85800,3008,92.4574
86400,3019,96.1149
87000,3029,107.2940
